name,description,pic,taste,weight,volume
eggplant,,,bitter,medium-heavy,moderate
eggs and egg-based dishes - in general,,,"sweet, astringent",light-medium,quiet
"eggs, hard-boiled",,,,,
endive,,,"bitter, sweet",light,quiet-moderate
epazote,,,bitter,light-medium,moderate-loud
escarole,,,bitter,medium,moderate-loud
fennel,,,sweet,light,quiet
fennel pollen,,,sweet,light,quiet
fennel seeds,,,sweet,light,quiet-medium
fenugreek,,,"bitter, sweet",light-medium,quiet-moderate
fiddlehead ferns,,,bitter,medium,moderate-loud
"figs, dried",,,sweet,medium,moderate
"figs, fresh",,,"sweet, astringent",medium,quiet-moderate
fish — in general,,,sweet,light-medium,quiet-moderate
fish sauce,,,salty,light,loud
five-spice powder,,,sweet,light,quiet-moderate
flounder,,,,light,quiet
foie gras,,,,heavy,moderate
freshness,,,,,
frisée,,,"sweet, bitter",light,quiet
"fruit, dried",,,sweet,,
"fruit, fresh",,,sweet,,
"fruit, tropical",,,"sweet, sour",,
game — in general,,,,heavy,moderate-loud
garam masala,,,,,
garlic,,,,light-medium,moderate-loud
gin,,,,light-medium,quiet-loud
ginger,,,"sour, hot",light-medium,loud
"ginger, ground",,,pungent,light-medium,moderate-loud
grapefruit,,,sour,light,loud
grapes,,,sweet,light-medium,quiet-moderate
greens — in general,,,bitter,medium-heavy,moderate-loud
"greens, collard",,,bitter,medium-heavy,moderate-loud
"greens, dandelion",,,bitter,medium,moderate
"greens, mustard",,,bitter,medium-heavy,moderate-loud
"greens, salad",,,,,
"greens, turnip",,,,,
grits,,,,,
grouper,,,,medium,quiet
guavas,,,sweet,medium,moderate
halibut,,,,medium,quiet
ham,,,salty,medium,moderate-loud
hazelnuts,,,"sweet, salty",medium,moderate-loud
honey,,,"sweet, astringent",medium-heavy,moderate-loud
"honey, chestnut",,,sweet-bitter,,
honeydew,,,sweet,light-medium,moderate
horseradish,,,"pungent, hot",light-medium,very loud
hyssop,,,bitter,medium,strong
jicama,,,sweet,light-medium,quiet
juniper berries,,,bitter,medium,moderate-loud
kaffir limes and kaffir lime leaf,,,sour ,light,moderate-loud
kale,,,"bitter, sweet",heavy,moderate
kiwi fruit,,,sour ,medium,quiet-moderate
kohlrabi,,,,medium-heavy,moderate-loud
kumquats,,,"sour, bitter",light-medium,moderate-loud
lamb — in general,,,"sweet, astringent",heavy,moderate-loud
"lamb, chops",,,,,
lavender,,,"sweet, sour",light,loud
leeks,,,sweet,light-medium,quiet
lemons,,,sour,light,loud
"lemons, meyer",,,sour-sweet,light,moderate-loud
"lemons, preserved",,,sour,light-medium,moderate-loud
lemon balm,,,,light-medium,quiet-moderate
lemon basil,,,sour,light,moderate
lemongrass,,,sour,light,moderate-loud
lemon thyme,,,sour,light,moderate-loud
lemon verbena,,,sour,light,loud
lentils,,,sweet-stringent,medium,moderate
lettuces — in general,,,,light-medium,quiet-loud
"lettuce, bibb (aka boston or butter lettuce)",,,sweet,light-medium,quiet